plotID,TreeKey,SpeciesAbbrev,Azimuth,Distance,CrownWidth1,CrownWidth2,CrownOffsetAzimuth,CrownOffsetDistance,Z
198,49015,Sb,359.3,10.7,2.51,2.42,0,0,14.6
198,49016,Sb,5.9,11.2,2.8,1.53,74,1.92,15.1
198,49018,Sb,14.6,8.8,2.42,2.3,0,0,14.1
198,49020,Sb,20.3,9.2,2.15,1.71,0,0,13.5
198,49021,Sb,20.6,9.4,1.68,2.21,0,0,15.3
198,49025,Sb,26.4,9.9,2.18,2.38,0,0,9.7
198,49026,Sb,25.4,10.8,2.29,1.38,0,0,13.6
198,49027,Sb,25.6,11,1.47,0.95,0,0,9.2
198,49028,Sb,37.3,10.5,2.72,2.48,0,0,8.8
198,49030,Sb,53.3,2.3,2.62,2.33,0,0,12.6
198,49033,Sb,59.1,3.3,2.29,1.51,0,0,11.8
198,49521,Sb,81.5,4.3,2.28,2.22,0,0,11.3
198,49522,Sb,69.3,4.9,2.04,2.02,0,0,11
198,49524,Sb,56.1,5.4,2.02,1.78,0,0,12.7
198,49528,Sb,47.4,6.6,2.08,2.21,0,0,11.8
198,49529,Sb,52.3,7.7,2.23,2.18,0,0,11.6
198,49530,Sb,59,7.9,3.04,2.3,0,0,7.4
198,49531,Sb,66,7.4,2.88,2.1,0,0,8.6
198,49532,Sb,71.6,8.3,2.72,2.05,0,0,9.9
198,49535,Sb,68,9.6,2.07,1.82,0,0,7.6
198,49536,Sb,46.2,10.2,2.08,1.91,0,0,10.6
198,49537,Sb,82.7,11.2,2.35,2.33,0,0,9.8
198,49538,Sb,93.3,10.2,2.33,1.69,0,0,8
198,49541,Sb,120,4.8,5.3,5.3,0,0,21.6
198,49432,Sb,120,6.4,3.87,4.02,0,0,20.3
198,49434,Sb,137.9,8.3,2.5,2.44,0,0,11.1
198,49436,Sb,103.9,8.5,3.51,3.22,0,0,13.7
198,49437,Sb,106.5,8.4,3.69,2.44,0,0,11.3
198,49438,Sb,120.4,9.7,2.79,2.17,0,0,10.8
198,49440,Sb,100,10.2,2.55,3.03,0,0,15
198,49443,Sb,146,1.6,2.73,2.14,0,0,9.7
198,49445,Sb,168.2,3.2,3.45,3.44,0,0,14.5
198,49446,Sb,169.4,3.5,3.23,2.06,0,0,14.6
198,49448,Sb,173.6,4.2,3.79,2.95,0,0,14.2
198,49452,Sb,152.1,6.2,2.52,2.63,0,0,11.5
198,49454,Sb,147.1,7.7,2.75,2.74,0,0,11.1
198,49455,Sb,154,8.3,2.84,2.46,0,0,7.9
198,49457,Pj,153.4,9.4,4.99,5.55,0,0,16.8
198,49458,Sb,174.8,9,3.8,3.31,0,0,13.9
198,49460,Sb,176.7,10.9,2.39,2.07,0,0,10.9
198,49461,Sb,206.4,2.8,2.7,3.66,0,0,16.8
198,49462,Sb,187,3.2,4.24,3.24,0,0,14
198,49464,Sb,199.6,3.7,2.57,1.93,0,0,13
198,49466,Sb,196.4,4.8,2.05,1.96,0,0,13.1
198,49467,Sb,180.9,4.7,3.07,3.02,0,0,15.7
198,49472,Sb,186.8,8.8,2.43,2.69,0,0,11.5
198,49473,Sb,182.7,9.8,1.96,1.88,0,0,10.6
198,49475,Sb,194.2,11,3.3,2.65,0,0,10.2
198,49542,Sb,203.5,10,4.1,4.36,0,0,20.2
198,49543,Sb,216.7,10.6,2.11,2.21,0,0,8.9
198,49545,Sb,218.5,0.7,2.1,2.21,0,0,6.8
198,49550,Sb,233.9,6.8,2.36,2.75,0,0,11.6
198,49551,Sb,234.1,7.2,2.3,1.64,0,0,11.3
198,49553,Sb,224.1,7.9,2.06,2.12,0,0,11.1
198,49554,Sb,233,8.5,2.19,1.79,0,0,10.7
198,49557,Sb,260.4,6.6,2.63,2.74,0,0,11.3
198,49558,Sb,265.3,9.8,3,2.36,0,0,12
198,49559,Sb,258.6,9.8,2.87,2.11,0,0,8.2
198,49561,Sb,231.3,9.6,2.71,2.55,0,0,12.7
198,49563,Sb,248.4,9.8,3.06,2.75,0,0,16.3
198,49564,Sb,241.1,11.1,2.61,2.25,0,0,11.4
198,49477,Sb,272.8,4.4,2.59,2.48,0,0,12.7
198,49480,Sb,295.2,6.1,2.8,2.55,0,0,11.2
198,49481,Sb,313.6,7,3.36,3.44,0,0,12.3
198,49482,Sb,301.4,8.8,2.33,2.5,0,0,6.5
198,49483,Sb,292.3,8.5,2.68,2.37,0,0,12.1
198,49484,Sb,280.5,7.1,2.24,2.21,0,0,12.7
198,49487,Sb,271.9,10.1,2.79,2.49,0,0,11.3
198,49489,Sb,279.5,10.7,2.79,2.44,0,0,8.3
198,49490,Sb,307.4,9.5,2.81,3.16,0,0,18.1
198,49491,Sb,304.7,10,3.17,3.18,0,0,10.4
198,49492,Sb,309.1,11.2,2.68,1.59,0,0,18
198,49494,Sb,321.5,3.5,2.04,1.61,0,0,9.2
198,49495,Sb,354.1,3.9,2.7,2.67,0,0,11.6
198,49497,Sb,351.2,4.9,2.2,2.34,0,0,13.1
198,49498,Sb,350.6,5.8,2.25,1.93,0,0,8.4
198,49499,Sb,359.9,7.3,2.36,4.86,57,3.98,8.5
198,49501,Sb,319.8,7.8,3.37,3.13,0,0,19.4
